"search_keyword","commerce_search_count","integrated_search_count","order_usage_rate","ad_intype_rate","organic_rate","c","uc","r","ctr","cvr","search_fail_20_rate","search_fail_100_rate","filter_usage_rate","related_search_rate","date"
"부엌수납장","26","30","82.5","0.0","100.0","419","70","1019","81.69014084507042","0.0","52.17391304347826","28.26086956521739","2.73972602739726","4.109589041095891","2022-03-06"
"모나코올리브","21","9","81.77966101694915","0.0","100.0","197","43","2083","70.2127659574468","0.0","62.16216216216216","59.45945945945946","19.148936170212767","6.382978723404255","2022-03-06"
"조화화병","8","5","71.42857142857143","0.0","100.0","72","8","5114","77.77777777777777","0.0","42.857142857142854","28.571428571428573","11.11111111111111","0.0","2022-03-06"
"화장실","88","82","84.10596026490066","0.0","100.0","2070","401","193","77.67220902612827","0.0","63.76146788990825","50.91743119266055","0.4608294930875576","2.7842227378190256","2022-03-06"
"메트리스깔판","14","12","80.0","0.0","100.0","75","13","4945","93.33333333333333","0.0","22.22222222222222","11.11111111111111","13.333333333333334","0.0","2022-03-06"
"실리콘테이블매트","21","3","94.11764705882354","0.0","100.0","103","19","3753","84.21052631578948","0.0","31.57894736842105","21.05263157894737","5.0","0.0","2022-03-06"
"토스터","18","5","94.11764705882354","0.0","100.0","212","48","1952","80.0","0.0","43.39622641509434","30.18867924528302","5.357142857142857","3.5714285714285716","2022-03-06"
"먼데이하우스","122","55","75.7918552036199","0.0","100.0","898","262","465","76.86832740213524","0.0","57.9646017699115","42.47787610619469","5.985915492957746","11.267605633802816","2022-03-06"
"모빌","130","53","87.38738738738739","0.0","100.0","1904","373","211","78.81773399014779","0.0","54.310344827586206","34.770114942528735","0.48661800486618007","3.4313725490196076","2022-03-06"
"토스트기","138","80","84.6774193548387","0.0","100.0","1242","265","341","82.56227758007117","0.0","42.14876033057851","30.578512396694215","1.3840830449826989","2.7681660899653977","2022-03-06"
"곽티슈케이스","14","4","90.0","0.0","100.0","141","21","2844","90.9090909090909","0.0","35.0","20.0","4.545454545454546","4.545454545454546","2022-03-06"
"침대테이블","171","77","89.94082840236686","0.0","100.0","1418","343","296","78.55153203342618","0.0","56.375838926174495","42.281879194630875","0.819672131147541","8.743169398907105","2022-03-06"
"주방칼","20","6","78.94736842105263","0.0","100.0","122","33","3248","78.78787878787878","0.0","44.827586206896555","27.586206896551722","2.9411764705882355","2.9411764705882355","2022-03-06"
"슈케이스","6","3","85.71428571428571","0.0","100.0","83","18","4535","83.33333333333333","0.0","21.428571428571427","21.428571428571427","5.555555555555555","5.555555555555555","2022-03-06"
"침대협탁","358","153","91.33333333333333","0.0","100.0","2523","536","154","77.19298245614036","0.0","60.47008547008547","40.38461538461539","4.15944540727903","6.956521739130435","2022-03-06"
"재활용분리수거함","83","88","80.41237113402062","0.0","100.0","795","161","543","85.47486033519553","0.0","35.15625","24.21875","2.1621621621621623","3.867403314917127","2022-03-06"
"장스탠드","232","102","88.99521531100478","0.0","100.0","4142","662","81","88.21138211382114","0.0","42.30769230769231","22.435897435897434","5.390835579514825","3.2653061224489797","2022-03-06"
"일광","2","0","100.0","0.0","100.0","45","11","7597","83.33333333333333","0.0","30.0","10.0","8.333333333333334","0.0","2022-03-06"
"오덴세","131","46","89.14728682170542","0.0","100.0","824","274","516","73.92857142857143","0.0","53.441295546558706","40.08097165991903","2.797202797202797","4.895104895104895","2022-03-06"
"비누받침","69","40","91.04477611940298","0.0","100.0","801","155","532","86.62420382165605","0.0","43.18181818181818","20.454545454545453","1.2658227848101267","1.2658227848101267","2022-03-06"
"모온","13","2","72.0","0.0","100.0","158","42","2563","67.3913043478261","0.0","50.0","50.0","21.73913043478261","0.0","2022-03-06"
"타카타카","19","14","72.94117647058823","0.0","100.0","133","36","3019","83.78378378378379","0.0","44.827586206896555","41.37931034482759","2.7027027027027026","2.7027027027027026","2022-03-06"
"후드","17","17","62.96296296296296","0.0","100.0","188","53","2173","68.51851851851852","0.0","73.33333333333333","70.0","1.8181818181818181","5.454545454545454","2022-03-06"
"슬라이드침대","13","1","100.0","0.0","100.0","41","6","8217","66.66666666666667","0.0","60.0","60.0","16.666666666666668","0.0","2022-03-06"
"코렐스누피","28","15","81.48148148148148","0.0","100.0","164","24","2465","90.3225806451613","0.0","36.36363636363637","22.727272727272727","3.225806451612903","0.0","2022-03-06"
"나폴레옹","17","15","88.23529411764706","0.0","100.0","137","28","2925","100.0","0.0","8.333333333333334","4.166666666666667","3.3333333333333335","3.3333333333333335","2022-03-06"
"TV","74","18","65.57377049180327","0.0","100.0","198","58","2071","71.66666666666667","0.0","52.83018867924528","49.056603773584904","9.836065573770492","6.557377049180328","2022-03-06"
"앨리스","8","0","100.0","0.0","100.0","17","7","17866","57.142857142857146","0.0","66.66666666666667","66.66666666666667","14.285714285714286","0.0","2022-03-06"
"하만카돈","11","8","68.75","0.0","100.0","174","28","2322","87.5","0.0","18.181818181818183","18.181818181818183","3.125","3.125","2022-03-06"
"모달와플","7","1","100.0","0.0","100.0","31","9","10435","100.0","0.0","0.0","0.0","11.11111111111111","0.0","2022-03-06"
"소주잔","92","40","90.36144578313252","0.0","100.0","1114","210","379","83.03571428571429","0.0","43.28358208955224","26.3681592039801","1.3392857142857142","3.587443946188341","2022-03-06"
"장식장","278","140","90.07936507936508","0.0","100.0","2325","479","168","76.5625","0.0","68.54460093896714","43.1924882629108","6.936416184971098","8.560311284046692","2022-03-06"
"책상의자","311","150","85.1985559566787","0.0","100.0","2285","475","170","80.68181818181819","0.0","57.142857142857146","42.857142857142854","8.037383177570094","5.794392523364486","2022-03-06"
"라지자","1","0","100.0","0.0","100.0","29","4","11055","57.142857142857146","0.0","50.0","50.0","14.285714285714286","0.0","2022-03-06"
"휴지통","483","226","91.83168316831683","0.0","100.0","5566","1044","53","82.81389136242208","0.0","46.46153846153846","30.871794871794872","6.830122591943958","4.313380281690141","2022-03-06"
"포크세트","31","14","86.20689655172414","0.0","100.0","121","40","3274","70.73170731707317","0.0","80.0","65.71428571428571","9.523809523809524","11.904761904761905","2022-03-06"
"메세라미카","37","9","71.83098591549296","0.0","100.0","151","36","2672","85.0","0.0","34.375","25.0","2.4390243902439024","9.75609756097561","2022-03-06"
"화분","414","280","84.84162895927602","0.0","100.0","4208","1035","78","75.5045871559633","0.0","65.2532391048292","48.763250883392224","1.0810810810810811","5.802357207615594","2022-03-06"
"웍","71","8","98.27586206896552","0.0","100.0","295","88","1422","60.416666666666664","0.0","58.888888888888886","46.666666666666664","2.0833333333333335","5.2631578947368425","2022-03-06"
"주전자","180","77","86.70886075949367","0.0","100.0","1167","276","359","72.81879194630872","0.0","62.69230769230769","44.61538461538461","3.6666666666666665","7.333333333333333","2022-03-06"
"침구청소기","27","17","95.83333333333333","0.0","100.0","274","55","1529","92.98245614035088","0.0","18.181818181818183","12.727272727272727","1.7241379310344827","0.0","2022-03-06"
"에이스침대","107","56","87.36842105263158","0.0","100.0","617","160","699","80.76923076923077","0.0","73.84615384615384","54.61538461538461","3.8043478260869565","6.043956043956044","2022-03-06"
"매직캔","56","46","63.41463414634146","0.0","100.0","495","158","848","85.14285714285714","0.0","25.210084033613445","24.369747899159663","8.571428571428571","0.5714285714285714","2022-03-06"
"온수매트","24","19","95.45454545454545","0.0","100.0","193","54","2126","68.42105263157895","0.0","52.17391304347826","47.82608695652174","1.7241379310344827","3.4482758620689653","2022-03-06"
"전구","57","28","84.21052631578948","0.0","100.0","618","198","697","65.36585365853658","0.0","58.8235294117647","50.588235294117645","2.8846153846153846","4.368932038834951","2022-03-06"
"방석","533","208","89.82630272952854","0.0","100.0","5086","1040","59","75.91111111111111","0.0","53.15947843530592","37.81344032096289","5.1191526919682255","6.028368794326241","2022-03-06"
"전기주전자","45","15","88.23529411764706","0.0","100.0","324","60","1300","84.84848484848484","0.0","44.827586206896555","25.862068965517242","9.090909090909092","4.615384615384615","2022-03-06"
"원목전신거울","9","3","87.5","0.0","100.0","47","13","7327","92.85714285714286","0.0","16.666666666666668","16.666666666666668","7.142857142857143","0.0","2022-03-06"
"2단선반","90","44","86.66666666666667","0.0","100.0","539","130","788","86.23188405797102","0.0","53.91304347826087","26.956521739130434","2.112676056338028","3.5714285714285716","2022-03-06"
"까사니","8","1","66.66666666666667","0.0","100.0","32","9","10135","77.77777777777777","0.0","75.0","37.5","11.11111111111111","0.0","2022-03-06"
"스텐드조명","37","44","71.15384615384616","0.0","100.0","406","97","1050","76.23762376237623","0.0","76.5625","51.5625","0.9900990099009901","9.900990099009901","2022-03-06"
"각티슈","25","0","100.0","0.0","100.0","185","56","2205","84.21052631578948","0.0","41.81818181818182","25.454545454545453","5.2631578947368425","1.7543859649122806","2022-03-06"
"led수납침대","7","2","100.0","0.0","100.0","35","4","9429","100.0","0.0","16.666666666666668","0.0","33.333333333333336","0.0","2022-03-06"
