search_keyword,qc,cc,ctr
조명스탠드,77,36,46.75324675324680
주방놀이,20,15,75.0
홀로그램테이블,18,11,61.11111111111110
낮은테이블,17,6,35.294117647058800
라탄화분바구니,10,4,40.0
파티션수납장,12,8,66.66666666666670
1인체어,18,13,72.22222222222220
향수진열,11,11,100.0
코스터,23,9,39.130434782608700
아기옷걸이,11,3,27.272727272727300
주방후드,39,27,69.23076923076920
아기놀이방,11,8,72.72727272727270
수건 수납,12,8,66.66666666666670
흔들의자,149,52,34.899328859060400
식기세척기,228,88,38.59649122807020
서재형거실,95,85,89.47368421052630
책상책장,10,6,60.0
몽제매트리스,14,6,42.85714285714290
연두색벽지,13,12,92.3076923076923
쇼파러그,17,5,29.41176470588240
#욕실인테리어,13,10,76.92307692307690
쇼파협탁,19,12,63.1578947368421
에어컨2in1,22,1,4.545454545454550
내열유리컵,40,9,22.5
스탠드행거,45,22,48.888888888888900
원목트롤리,10,3,30.0
창문 가리개,14,7,50.0
안방 붙박이장,13,12,92.3076923076923
좌식쇼파,83,25,30.120481927710800
비스포크키친핏,48,40,83.33333333333330
손세정기,10,3,30.0
스테인드글라스,12,7,58.333333333333300
방구조,33,24,72.72727272727270
숲세권,27,14,51.851851851851900
다용도수납장,14,8,57.142857142857100
이불보관함,13,11,84.61538461538460
주방식탁,16,13,81.25
학생의자,45,20,44.44444444444440
tv장식장,21,14,66.66666666666670
반찬그릇,17,7,41.1764705882353
긴책상,10,7,70.0
키즈침구,10,7,70.0
전세집,17,8,47.05882352941180
예쁜욕실,12,7,58.333333333333300
게이밍책상,96,48,50.0
벽걸이휴지통,16,5,31.25
헤링본장판,15,13,86.66666666666670
배개커버,14,1,7.142857142857140
베란다화분,10,5,50.0
오피스,43,29,67.44186046511630
접이식 매트리스,27,13,48.14814814814820
비누홀더,15,5,33.333333333333300
얼음트레이,21,3,14.285714285714300
