"id","production_id","user_id","star_durability","star_design","star_cost","star_delivery","comment","created_at","updated_at","option","on_hide","order_option_id","card_id","avg_star","memo","admin_check","praise_count","is_photo_hidden","has_reply","reply_writer","reply_content","reply_at"
"17755246","1038914","5404407","5","5","5","5","예뻐요 칼라도 이쁨 무선이라 편하고 충전이 되있어서 아직 안해봤는데 좋아요","2022-05-01 19:10:21.000","2022-05-01 19:10:21.000","노랑","false","219604562","16987815","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17751922","1038914","14707412","5","5","5","5","무선으로 사용가능한 조명 찾다가 구매했는데 디자인도 예쁘고 색깔도 포인트가 돼서 좋아요~~","2022-05-01 15:40:53.000","2022-05-01 15:40:53.000","노랑","false","216451664","16983560","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17748048","1038914","4450850","4","4","4","4","살짝 마감처리가 아쉬어요 꼭지부분은 살짝 녹이 슬옸내여 속상한데 반품귀찬ㄹ아 참숩니다","2022-05-01 12:09:34.000","2022-05-01 12:09:34.000","노랑","false","219729207","16978646","4.0",,"true","0","false","false","오늘의집 집돌이",,
"17747207","1038914","17697102","4","4","4","5","디자인,색상다맘에들고어디에둬도색상이예쁘서잘어울려서기분짱애옹~^^~","2022-05-01 11:37:59.000","2022-05-01 11:38:00.000","연분홍","false","220815001","16887314","4.25",,"true","0","false","false","오늘의집 집돌이",,
"17746208","1038914","16853442","4","5","3","5","스텐드 유선은 예쁜게 많은데 무선은 많이 없다라구요
다른분들 말씀대로 그닥 밝지 않지만
만족 합니다","2022-05-01 11:03:49.000","2022-05-01 11:03:49.000","흰색","false","219959456","16976417","4.25",,"true","0","false","false","오늘의집 집돌이",,
"17743820","1038914","11361017","3","3","3","3","너무 이뻐요 집에 포인트로 좋네요..","2022-05-01 07:27:26.000","2022-05-01 07:27:26.000","노랑","false","218793276",,"3.0",,"true","0","false","false","오늘의집 집돌이",,
"17743549","1038914","17191214","4","5","5","5","불이 좀 어두운 편인데요 
그냥 작은 무드등이면 되어서 상관없이 쓰고 있어요
일단 귀엽긴 너무 귀엽습니다","2022-05-01 04:47:42.000","2022-05-01 04:47:42.000","노랑","false","218123000","16973480","4.75",,"true","0","false","false","오늘의집 집돌이",,
"17742646","1038914","3347717","5","5","5","5","선물하려고 구매했는데 넘 이뻐요
배송도 바로 진행되서 기다리지도 않고 안심했네요
매우 마음에 듭니다ㅎㅎ","2022-05-01 01:14:40.000","2022-05-01 01:14:40.000","흰색","false","219805072","16972247","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17740657","1038914","5567362","2","4","4","5","싼게 비지떡
스크래치로 인한 벗겨짐인지 아님 뭐가 묻은건지
받고 썩 기분은 안좋네요","2022-04-30 22:42:01.000","2022-04-30 22:42:01.000","노랑","false","220941055","16968791","3.75",,"true","0","false","false","오늘의집 집돌이",,
"17738220","1038914","7892401","4","5","5","5","배송은 다른 상품들이랑 비슷하게 왔어요 스크래치가 살짝있지만 가격이 저렴하니 그냥 쓰려구요","2022-04-30 20:12:11.000","2022-04-30 20:12:11.000","노랑","false","220595341","16963167","4.75",,"true","0","false","false","오늘의집 집돌이",,
"17736591","1038914","11367850","5","5","5","5","너무 이뻐요 ㅎㅎ 활용도도 좋고 맘에들어요","2022-04-30 18:23:37.000","2022-04-30 18:23:37.000","노랑","false","220574165","16959479","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17733641","1038914","2204015","5","5","5","5","배송도빠르고 이쁘고 불빛도 삼단조절되고 너무조아용👍","2022-04-30 15:07:02.000","2022-04-30 15:07:03.000","연분홍","false","220022804",,"5.0",,"true","0","false","false","오늘의집 집돌이",,
"17733503","1038914","15474431","4","5","5","5","아이 침대방에 놔줬는데 잠자기전  켜두기 좋아요.","2022-04-30 14:56:38.000","2022-04-30 14:56:38.000","노랑","false","219719709","16953710","4.75",,"true","0","false","false","오늘의집 집돌이",,
"17729704","1038914","9331565","4","5","3","5","생각보다 가볍고 색도 예뻐요 배송이 빨라서 좋앗어영","2022-04-30 11:21:15.000","2022-04-30 11:21:15.000","노랑","false","219084543","16948245","4.25",,"true","0","false","false","오늘의집 집돌이",,
"17716586","1038914","3423584","5","5","5","5","예뻐요ㅎㅎ 아직 사용전 인대 마음에 들어오","2022-04-29 13:47:33.000","2022-04-29 13:47:33.000","노랑","false","220973915","16923271","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17705233","1038914","12601292","5","5","5","5","노랑 노랑 색깔 너무 이뻐요  인테리어로도 딱이예요","2022-04-28 21:19:48.000","2022-04-28 21:19:48.000","노랑","false","218134816","16905490","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17702519","1038914","3969543","5","5","5","5","배송 빨라요~~~! 
조명 색도 여러가지라 가성비 굿!","2022-04-28 18:46:11.000","2022-04-28 18:46:11.000","추가상품 - 5V 3.6A 어댑터","false","220445828",,"5.0",,"true","0","false","false","오늘의집 집돌이",,
"17693328","1038914","9054343","5","5","4","5","색상은 화면에서 본것과 같이 머스타드색이구요. 선명하니 이뻐요. 전원 온오프 터치도 잘 됩니다.  근데 스크레치가 곳곳에보여 아쉽네요. 눈에 거슬리는 정도는 아니라 그냥 사용하려구요...","2022-04-28 11:07:56.000","2022-04-28 11:07:56.000","노랑","false","220160045","16885224","4.75",,"true","0","false","false","오늘의집 집돌이",,
"17682657","1038914","4821614","5","5","5","5","배송이 오래걸릴 줄 알았는데 진짜 금방왔어요; 색도 예쁘고 조아요","2022-04-27 19:09:19.000","2022-04-27 19:09:19.000","노랑","false","220448408","16867979","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17673039","1038914","3228049","5","5","5","3","너무너무 이쁜데 불이 켜진채로왔어요...ㅜㅜ","2022-04-27 09:44:29.000","2022-04-27 09:44:29.000","노랑","false","219680504","16850383","4.5",,"true","0","false","false","오늘의집 집돌이",,
"17665630","1038914","10398138","3","5","4","4","디자인이쁜데 빛이 너무 안밝네요 책읽을때 쓸랬는데 내구성은 별로인듯","2022-04-26 21:17:03.000","2022-04-26 21:17:03.000","노랑","false","219801878","16839107","4.0",,"true","0","false","false","오늘의집 집돌이",,
"17659778","1038914","14249175","3","4","4","5","배송은 하루만에 도착했어요.
금액대의 퀄리티네요.","2022-04-26 15:12:47.000","2022-04-26 15:12:47.000","노랑","false","220249967","16828966","4.0",,"true","0","false","false","오늘의집 집돌이",,
"17658317","1038914","5937461","5","5","5","5","충전식이라 선 없이 사용 가능해 더 좋아요
","2022-04-26 13:33:37.000","2022-04-26 13:33:37.000","노랑","false","217006598","16826209","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17647202","1038914","4283531","3","5","5","5","이뻐요!
딸아이가 엄청 좋아하네요
충전 후 5시간밖에 안가서 좀 아쉬워요","2022-04-25 17:16:18.000","2022-04-25 17:16:18.000","노랑","false","219486390",,"4.5",,"true","0","false","false","오늘의집 집돌이",,
"17645313","1038914","8483406","5","5","2","3","전등 하나 놓았는데 침실 분위기 달라져요 ~ 
충전해서 올려 놓으니까 지저분한 전선 안 보여서 좋습니다","2022-04-25 14:58:44.000","2022-04-25 14:58:44.000","추가상품 - 5V 3.6A 어댑터","false","218744270","16802891","3.75",,"true","0","false","false","오늘의집 집돌이",,
"17634313","1038914","6104384","5","5","5","5","귀엽고 예뻐요 조명도 3단계로 있어서 좋아요 ","2022-04-24 21:13:04.000","2022-04-24 21:13:04.000","노랑","false","216709362","16787458","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17632738","1038914","16577282","3","5","5","5","배송 엄청 빨리왔어요! 
넘 이뻐요
생각보다 크지만 딱좋아요","2022-04-24 19:35:19.000","2022-04-24 19:35:19.000","흰색","false","219669803","16785266","4.5",,"true","0","false","false","오늘의집 집돌이",,
"17583782","1038914","3594843","4","5","5","5","디자인도 이쁘고, 배송도 빨리 왔어요.
버튼 옆이 살짝 벗겨져서 아쉽워요.","2022-04-21 21:39:34.000","2022-04-24 13:25:05.000","흰색","false","219285531",,"4.75",,"true","0","false","false","오늘의집 집돌이",,
"17624028","1038914","17697102","5","4","4","4","색상,크기,디자인생각했던거만큼심플하고예쁘고만족스럽고기분좋았어요~^^","2022-04-24 11:05:07.000","2022-04-24 11:05:07.000","노랑","false","217821523","16772165","4.25",,"true","0","false","false","오늘의집 집돌이",,
"17620275","1038914","3786333","5","5","5","5","아이방 수면등으로 쓰고있어요. 충전식이라 편하고이뻐요","2022-04-24 00:55:00.000","2022-04-24 00:55:00.000","흰색","false","206838029","16766248","5.0",,"true","0","false","false","오늘의집 집돌이",,
"17607763","1038914","11779743","5","5","5","5","디자인도 예쁘구 조명도 여러가지 나오구 넘예뻐요!","2022-04-23 11:28:23.000","2022-04-23 11:28:23.000","흰색","false","218362000","16749037","5.0",,"true","0","false","false","오늘의집 집돌이",,
